packets/s 	 233696 	 bytes/s 	 1673
packets/s 	 247168 	 bytes/s 	 1770
packets/s 	 260576 	 bytes/s 	 1867
packets/s 	 274048 	 bytes/s 	 1963
packets/s 	 287424 	 bytes/s 	 2059
packets/s 	 300889 	 bytes/s 	 2160
packets/s 	 314279 	 bytes/s 	 2246
packets/s 	 327584 	 bytes/s 	 2381
packets/s 	 341025 	 bytes/s 	 2408
packets/s 	 354516 	 bytes/s 	 2542
packets/s 	 367851 	 bytes/s 	 2654
packets/s 	 381344 	 bytes/s 	 2711
packets/s 	 394670 	 bytes/s 	 2860
packets/s 	 408018 	 bytes/s 	 2894
packets/s 	 421376 	 bytes/s 	 3030
packets/s 	 434813 	 bytes/s 	 3117
packets/s 	 448163 	 bytes/s 	 3196
packets/s 	 461442 	 bytes/s 	 3301
packets/s 	 475058 	 bytes/s 	 3415
packets/s 	 488236 	 bytes/s 	 3517
packets/s 	 501537 	 bytes/s 	 3589
packets/s 	 515199 	 bytes/s 	 3690
packets/s 	 528320 	 bytes/s 	 3786
packets/s 	 541792 	 bytes/s 	 3882
packets/s 	 555578 	 bytes/s 	 3969
packets/s 	 568550 	 bytes/s 	 4058
packets/s 	 581612 	 bytes/s 	 4161
packets/s 	 595700 	 bytes/s 	 4266
packets/s 	 608608 	 bytes/s 	 4384
packets/s 	 622112 	 bytes/s 	 4435
packets/s 	 635696 	 bytes/s 	 4573
packets/s 	 649072 	 bytes/s 	 4630
packets/s 	 662276 	 bytes/s 	 4765
packets/s 	 675645 	 bytes/s 	 4819
packets/s 	 689055 	 bytes/s 	 4957
packets/s 	 702689 	 bytes/s 	 5011
packets/s 	 715967 	 bytes/s 	 5129
packets/s 	 729248 	 bytes/s 	 5227
packets/s 	 742944 	 bytes/s 	 5336
packets/s 	 756640 	 bytes/s 	 5435
packets/s 	 769696 	 bytes/s 	 5510
packets/s 	 783105 	 bytes/s 	 5611
packets/s 	 796693 	 bytes/s 	 5708
packets/s 	 810026 	 bytes/s 	 5806
packets/s 	 823738 	 bytes/s 	 5881
packets/s 	 836870 	 bytes/s 	 5978
packets/s 	 850528 	 bytes/s 	 6101
packets/s 	 863361 	 bytes/s 	 6208
packets/s 	 876699 	 bytes/s 	 6257
packets/s 	 890180 	 bytes/s 	 6376
packets/s 	 903897 	 bytes/s 	 6488
packets/s 	 916807 	 bytes/s 	 6555
packets/s 	 930163 	 bytes/s 	 6672
packets/s 	 943743 	 bytes/s 	 6746
packets/s 	 956748 	 bytes/s 	 6854
packets/s 	 970050 	 bytes/s 	 6967
packets/s 	 983124 	 bytes/s 	 7040
packets/s 	 996626 	 bytes/s 	 7130
packets/s 	 1010106 	 bytes/s 	 7231
packets/s 	 1024198 	 bytes/s 	 7335
packets/s 	 1038265 	 bytes/s 	 7437
packets/s 	 1051308 	 bytes/s 	 7531
packets/s 	 1064402 	 bytes/s 	 7629
packets/s 	 1077961 	 bytes/s 	 7715
packets/s 	 1092261 	 bytes/s 	 7851
packets/s 	 1105190 	 bytes/s 	 7912
packets/s 	 1118863 	 bytes/s 	 7995
packets/s 	 1132550 	 bytes/s 	 8116
packets/s 	 1145712 	 bytes/s 	 8238
packets/s 	 1159084 	 bytes/s 	 8272
packets/s 	 1173092 	 bytes/s 	 8434
packets/s 	 1185410 	 bytes/s 	 8461
packets/s 	 1198557 	 bytes/s 	 8619
packets/s 	 1211429 	 bytes/s 	 8648
packets/s 	 1223455 	 bytes/s 	 8762
packets/s 	 1235646 	 bytes/s 	 8884
packets/s 	 1248487 	 bytes/s 	 8914
